From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,COMMENT_OBS
COMMENT_OBS,SOURCE_DETAIL
SOURCE_DETAIL,REF_AREA
REF_AREA,SEX
SEX,URBANISATION
URBANISATION,COMPOSITE_BREAKDOWN
COMPOSITE_BREAKDOWN,DISABILITY_STATUS
DISABILITY_STATUS,TIME_DETAIL
